Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points
"Barnes, Eddie ",USA,66,325,357,01:21:26,06:14:40,03:58:42,11:58:18,3171
"Rossing, Adam ",USA,67,327,359,01:28:48,05:51:55,04:18:55,11:58:38,3167
"Bocock, Daniel ",USA,68,342,379,01:23:12,06:08:23,04:10:37,12:02:38,3119
"Simpson, Garett ",USA,69,347,384,01:10:34,06:11:14,04:24:24,12:03:37,3107
"Pittner-Smith, Drew ",USA,70,352,392,01:28:50,06:33:06,03:47:46,12:04:34,3096
"Barbera, Andrew ",USA,71,353,393,01:16:58,06:25:56,04:03:58,12:04:40,3094
"Lueth, Chris ",USA,72,368,409,01:25:25,06:03:43,04:09:58,12:07:13,3064
"Garske, David ",USA,73,377,419,01:10:11,06:17:40,04:28:42,12:09:37,3035
"Berger, Ben ",USA,74,381,425,01:19:19,06:32:40,04:02:33,12:10:36,3023
"Olson, Jeremy ",USA,75,388,432,01:27:57,06:29:06,03:57:34,12:12:20,3002
"Conzemius, Michael ",USA,76,393,438,01:18:51,06:20:45,04:15:34,12:13:18,2991
"Prefontaine, Zachary ",USA,77,402,448,01:15:10,06:29:37,04:13:09,12:14:49,2973
"Magsamen, Brandon ",USA,78,405,451,01:35:39,06:03:38,04:15:34,12:15:10,2968
"Acuna Gonzalez, Luis ",CRI,79,423,473,01:10:55,05:50:51,05:03:43,12:18:14,2932
"Plecker, Adam ",USA,80,442,494,01:18:56,06:36:51,04:11:17,12:21:22,2894
"Gant, Matt ",USA,81,443,495,01:14:01,06:45:14,04:03:54,12:21:26,2893
"Mcgrath, Doug ",USA,82,454,508,01:05:18,06:30:22,04:34:15,12:23:13,2872
"Cleven, Brian ",USA,83,470,525,01:30:21,05:47:55,04:50:30,12:27:21,2822
"Vetter, Matthew ",USA,84,477,532,01:13:57,06:32:57,04:20:12,12:28:18,2811
"Buchanan, Jarod ",USA,85,490,554,01:13:13,06:36:51,04:17:50,12:31:08,2777
"Parker, Brendan ",USA,86,493,559,01:13:12,06:25:13,04:31:22,12:31:32,2772
"Bezares, Hector ",USA,87,503,571,01:23:16,06:22:49,04:35:01,12:33:40,2746
"Stegemeyer, Torin ",USA,88,509,578,01:17:57,06:00:36,04:48:15,12:34:52,2732
"Perretta, Daniel ",USA,89,510,580,01:29:44,06:24:36,04:23:58,12:35:01,2730
"Gawel, Christopher ",USA,90,514,587,01:19:46,06:42:04,04:18:42,12:36:36,2711
"Brunner, Brad ",USA,91,521,596,01:29:16,07:03:04,03:44:53,12:37:40,2698
"Schlueter, Steven ",USA,92,526,603,01:27:43,06:41:22,04:14:39,12:39:04,2682
"Cray, Trevor ",USA,93,536,614,01:09:40,06:18:05,04:56:18,12:40:44,2662
"Baldwin, Alex ",USA,94,537,615,01:19:07,06:06:56,04:53:45,12:40:45,2661
"Schmoyer, David ",USA,95,545,626,01:15:51,06:38:43,04:29:54,12:41:52,2648
"Johnson, Jacob ",USA,96,547,628,01:03:18,06:38:24,04:33:18,12:42:08,2645
"Mcginnis, John ",USA,97,554,639,01:06:07,07:01:42,04:17:08,12:43:16,2631
"Bremer, Andrew ",USA,98,557,642,01:20:12,06:52:09,04:07:45,12:43:31,2628
"Greenwood, Tyler ",USA,99,562,650,01:19:43,06:16:14,04:52:47,12:44:30,2616
"Newman, Joshua ",USA,100,573,664,01:15:44,06:31:22,04:44:00,12:46:06,2597
"Perez, Edenn ",USA,101,579,672,01:31:22,06:44:32,04:10:56,12:46:56,2587
"Wentzel, Tj ",USA,102,581,675,01:18:11,06:15:22,04:55:18,12:47:35,2579
"Schultz, Alexander ",USA,103,589,684,01:20:58,06:47:05,04:16:41,12:48:18,2571
"Kovach, Bryan ",USA,104,594,691,01:15:17,06:44:28,04:26:33,12:48:37,2567
"Soulema, Michael ",USA,105,597,695,01:22:06,06:34:00,04:29:13,12:49:10,2560
"Goplen, Kevin ",USA,106,605,705,01:19:57,06:47:18,04:24:57,12:50:33,2544
"Labossiere, Patrick ",CAN,107,613,716,01:26:14,06:34:52,04:36:41,12:52:10,2524
"Cook, Andy ",USA,108,619,726,01:27:18,06:42:00,04:23:17,12:52:58,2515
"Terpstra, Chad ",USA,109,623,730,01:06:20,06:33:04,04:50:14,12:54:02,2502
"Scalcucci, Mario ",USA,110,631,741,01:25:59,06:39:02,04:24:12,12:54:54,2492
"Laurent, Ben ",USA,111,635,746,01:37:20,06:44:31,04:14:56,12:55:09,2489
"Sullivan, Patrick ",USA,112,636,747,01:19:44,06:23:42,04:53:55,12:55:21,2486
"Trost, Jim ",USA,113,642,759,01:24:12,06:05:24,05:08:52,12:57:34,2460
"Pianello, Salvatore ",USA,114,647,764,01:33:23,05:59:56,04:58:32,12:57:54,2456
"Ponna, Natraj ",IND,115,650,769,02:02:02,06:41:56,03:57:20,12:58:38,2447
"Vitone, Anthony ",USA,116,652,771,01:14:40,06:18:25,05:12:31,12:59:11,2440
"D'Hondt, Michael ",USA,117,654,773,01:18:15,06:17:45,05:06:25,12:59:40,2434
"Metherd, Michael ",USA,118,657,777,01:06:59,06:30:36,04:59:49,13:00:05,2429
"Vang, Tou ",USA,119,658,779,01:36:07,06:36:05,04:29:39,13:00:18,2427
"Lindberg, Chris ",USA,120,692,827,01:16:58,06:55:13,04:40:07,13:07:05,2345
"Underwood, Chris ",CAN,121,711,859,01:22:47,06:48:11,04:38:27,13:12:30,2280
"Schmitt, Storm ",USA,122,725,878,01:21:10,06:00:31,05:32:30,13:14:46,2253
"Schmudlach, Ryan ",USA,123,733,887,01:40:16,06:43:10,04:34:30,13:15:51,2240
"True, Kyle ",USA,124,744,901,01:08:04,06:32:24,05:20:15,13:18:14,2212
"Toutant, Patrick ",USA,125,750,909,01:24:13,06:49:10,04:37:16,13:19:54,2192
"Kay, Bryan ",USA,126,769,929,01:14:52,07:13:40,04:36:25,13:22:00,2166
"Russ, Joel ",USA,127,773,937,01:23:27,06:58:31,04:32:44,13:22:26,2161
"Estes, John ",USA,128,783,951,01:14:25,06:45:55,05:06:14,13:24:53,2132
"Joubert, Pieter ",ZAF,129,786,954,01:18:26,06:43:53,05:06:18,13:25:21,2126
"Rosell, Bruce ",USA,130,788,958,01:18:52,06:27:43,05:13:42,13:25:58,2119
"Berba, Ryan ",USA,131,794,971,01:43:40,07:19:03,04:04:51,13:27:49,2097
"Wieser, Jason ",USA,132,810,997,01:16:54,06:11:59,05:41:54,13:31:03,2058
"Lopez, Sean ",USA,133,812,1003,01:34:48,07:21:37,04:15:52,13:31:53,2048
"Barcus, Steven ",USA,134,823,1016,01:19:19,06:44:41,05:14:02,13:33:59,2023
"Pantangco, Charles ",USA,135,829,1022,01:21:25,06:36:30,05:22:53,13:34:47,2013
"Gill, Sean ",USA,136,830,1023,01:52:07,06:55:36,04:20:18,13:34:50,2012
"Trapani, Frank ",USA,137,862,1071,01:30:00,06:55:10,04:54:26,13:40:21,1946
"Schlough, Gregory ",USA,138,863,1072,01:34:55,06:50:11,04:54:33,13:40:23,1946
"Focke, Alex ",USA,139,866,1075,01:45:26,07:03:51,04:16:37,13:40:47,1941
"Anfinson, Brett ",USA,140,879,1098,01:18:57,06:13:04,05:45:11,13:43:07,1913
"Loughry, Daniel ",USA,141,880,1100,01:37:47,06:41:36,05:03:17,13:43:24,1910
"Garafola, Luke ",USA,142,892,1114,01:26:47,07:01:08,04:53:40,13:44:59,1891
"J, Frandizon ",PHL,143,894,1116,01:39:04,06:49:15,04:54:39,13:45:21,1886
"Tenegra, Johnny ",USA,144,909,1139,01:32:57,06:50:58,05:04:50,13:47:52,1856
"Gonring, Nicholas ",USA,145,916,1148,01:33:33,06:59:41,04:51:00,13:49:08,1841
"Jones, Jack ",USA,146,917,1149,01:25:45,06:44:01,05:07:48,13:49:12,1840
"Bozsa, James ",USA,147,922,1154,01:37:35,06:45:00,05:04:07,13:49:46,1833
"Stanford, William ",USA,148,932,1170,01:27:21,06:57:52,05:04:56,13:51:42,1810
"Guelzow, Lee ",USA,149,933,1173,01:12:17,06:14:20,06:13:23,13:52:08,1805
"Sikowski, Ted ",USA,150,936,1178,01:23:36,07:54:29,04:09:04,13:52:31,1800
"Stierer, Gregory ",USA,151,944,1190,01:23:17,06:48:20,05:21:15,13:54:15,1779
"Mcgrath, Kevin ",USA,152,947,1195,01:14:20,07:04:47,05:16:41,13:54:42,1774
"Dickinson, Matt ",USA,153,965,1218,01:16:12,06:32:25,05:55:43,13:57:15,1743
"Feng, Fred ",CHN,154,975,1230,01:30:34,06:07:44,05:59:11,13:58:12,1732
"Whigham, Kj ",USA,155,989,1255,02:05:25,07:00:43,04:31:16,14:02:07,1685
"Burns, Tom ",USA,156,991,1258,01:25:52,06:50:26,05:19:20,14:02:36,1679
"Lantow, Benjamin ",USA,157,1001,1272,01:21:50,07:01:24,05:26:56,14:03:53,1664
"Christensen, Kurt ",USA,158,1007,1284,01:05:03,07:05:12,05:24:05,14:05:06,1649
"Critchell, Andrew ",USA,159,1010,1289,01:16:01,07:10:14,05:19:25,14:05:49,1641
"Hrabe, Ken ",USA,160,1012,1292,01:25:53,07:24:36,04:53:14,14:06:07,1637
"Blaum, Tyler ",USA,161,1035,1324,01:22:06,06:32:40,05:56:37,14:10:45,1581
"Laman, Jonathan ",USA,162,1052,1343,01:44:23,07:17:31,04:23:00,14:13:09,1553
"Leone, Ryan ",USA,163,1067,1362,01:10:41,07:46:39,04:57:57,14:15:35,1523
"Arnold, Justin ",USA,164,1081,1386,01:32:16,06:55:42,05:21:57,14:18:11,1492
"Steinbring, Blake ",USA,165,1092,1397,01:22:25,07:07:32,05:30:26,14:19:39,1475
"Silkey, Brent ",USA,166,1104,1414,01:48:21,07:20:56,04:52:21,14:22:17,1443
"Persons, Patrick ",USA,167,1118,1436,01:33:37,07:06:08,05:25:42,14:26:48,1389
"Fritsch, Corey ",USA,168,1132,1457,01:39:29,06:56:33,05:31:57,14:28:45,1365
